tipo,seccion,titulo,subtitulo,url,thumbnail,fecha,medio,fecha_registro
articulo,/politica/elecciones/,CADE electoral: Así fue el debate de los candidatos a la Presidencia ,"George Forsyth, Keiko Fujimori, Verónika Mendoza y Julio Guzmán participaron del evento virtual. Encuentro fue moderado por Ariana Lira, periodis...",https://elcomercio.pe/elecciones-2021/cade-2021-en-vivo-candidatos-a-la-presidencia-expondran-sus-propuestas-de-gobierno-esta-semana-george-forsyth-keiko-fujimori-veronika-mendoza-julio-guzman-noticia-2/,https://elcomercio.pe/resizer/j75G-gXZvcyGmkekNpDGAciWOOA=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/SFTCXZ2QLJDTZOZ2BKSN37AD6A.jpg,2021-02-18 00:06:26,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,"Verónika Mendoza: Nuestros niños y jóvenes no son desertores, el sistema educativo los excluye",La candidata presidencial por Juntos por el Perú indicó en el CADE Electoral que “no es justo que los jóvenes y familias tengan que endeudarse pa...,https://elcomercio.pe/elecciones-2021/elecciones-2021-veronika-mendoza-nuestros-ninos-y-jovenes-no-son-desertores-el-sistema-educativo-los-excluye-cade-electoral-nndc-noticia/,https://elcomercio.pe/resizer/xmeK3884oszMKCnBNBZZV2jdPlc=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/SAXCVI63CBAVXCHOSFMTKKSMX4.jpg,2021-02-18 00:06:26,elcomercio,2021-02-18 00:06:26
articulo,/politica/elecciones/,Candidatos al Congreso del Partido Nacionalista y Renovación Popular debaten este jueves en El Comercio,El encuentro entre los candidatos Víctor Quijada (Partido Nacionalista) y Deborah Inga (Renovación Popular) comenzará a las 10 de la mañana y ser...,https://elcomercio.pe/politica/elecciones/elecciones-2021-en-vivo-candidatos-al-congreso-del-partido-nacionalista-y-renovacion-popular-debaten-este-jueves-en-el-comercio-noticia/,https://elcomercio.pe/resizer/3GtJTGCamU81bo3XfOOI7iKor78=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/2FMUVA33Q5FSXDXV7VJ42PIBNQ.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/videos/pais/,Elecciones 2021: Todo lo que se sabe sobre los miembros de mesa,Este 18 de febrero se conocerá la lista final para conocer la relación definitiva de los ciudadanos que conducirán las mesas de sufragio en las e...,https://elcomercio.pe/videos/pais/elecciones-2021-todo-lo-que-se-sabe-sobre-los-miembros-de-mesa-nnav-vr-video-noticia/,https://elcomercio.pe/resizer/HfwuNKQY2Xh8_EmqtUab99o4LlY=/234x161/smart/filters:format(jpeg):quality(75)/cdn.jwplayer.com/v2/media/n8qezksw/poster.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,Elecciones 2021: estas fueron las frases que dejó la primera fecha del CADE Electoral,"El foro tuvo como protagonistas en esta oportunidad a los candidatos presidenciales George Forsyth (Victoria Nacional), Keiko Fujimori (Fuerza Po...",https://elcomercio.pe/elecciones-2021/elecciones-2021-estas-fueron-las-frases-que-dejo-la-primera-fecha-del-cade-electoral-covid-19-educacion-desigualdad-nczg-noticia/,https://elcomercio.pe/resizer/Ah7FVjzVIPUJrlWBkwz75t7KTtc=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/SMPUA55UYJCY3JIP4T5JDG2FEM.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/elecciones/,George Forsyth: “Mi compromiso es que al 2026 no haya una sola familia en el país sin acceso al agua potable”,El candidato presidencial de Victoria Nacional participó en CADE Electoral 2021.,https://elcomercio.pe/politica/elecciones/george-forsyth-mi-compromiso-es-que-al-2026-no-haya-una-sola-familia-en-el-pais-sin-acceso-al-agua-potable-nndc-noticia/,https://elcomercio.pe/resizer/5XjiY94hJtndveZdTflrcN4enBw=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/Y22L62WA2FBFVJ5RLPZS55MDQE.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/actualidad/,"Keiko Fujimori asegura que construirá 3.000 colegios en un eventual gobierno, como lo hizo su padre Alberto Fujimori",La candidata de Fuerza Popular aseguró que de ganar los comicios fortalecerá la Sunedu y respetará su autonomía.,https://elcomercio.pe/politica/actualidad/keiko-fujimori-afirma-que-en-un-eventual-gobierno-construira-3000-colegios-como-lo-hizo-su-padre-alberto-fujimori-nndc-noticia/,https://elcomercio.pe/resizer/sQjdfZsEcoFp91fTWqdJlnFWqc8=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/4LN4MLVQUZG4PCXPPSSGR622LM.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/elecciones-2021/,Julio Guzmán propone Beca 18 a huérfanos de fallecidos en primera línea por el COVID-19,"Además, creará el Programa Reactiva Estudios, para que los jóvenes accedan a créditos de 1% o 2%.",https://elcomercio.pe/elecciones-2021/julio-guzman-propone-beca-18-a-huerfanos-de-fallecidos-en-primera-linea-por-el-covid-19-cade-electoral-nndc-noticia/,https://elcomercio.pe/resizer/J4hT9pOAfPeGyaisBHsirEWdm0Y=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/7ET6YYWQLZD4PEUUXL53TI7NZA.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/elecciones/,CADE Electoral: Estas son las propuestas de los candidatos sobre las vacunas contra el COVID-19,"George Forsyth, Keiko Fujimori, Julio Guzmán y Verónika Mendoza expusieron sus propuestas sobre las vacunas durante el CADE Electoral.",https://elcomercio.pe/politica/elecciones/elecciones-2021-propuestas-de-george-forsyth-keiko-fujimori-julio-guzman-y-veronika-mendoza-sobre-las-vacunas-contra-el-covid-19-cade-electoral-nndc-noticia/,https://elcomercio.pe/resizer/pLymxyoBWsDfIjiOvPKXetrnYSc=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/WIBWXAW3I5ABHPO4AC4WGVG4OI.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
articulo,/politica/,"Keiko Fujimori: “Podemos salvar las vidas y salvar la economía, esa es la visión que queremos plantear”","La candidata presidencial de Fuerza Popular consideró que para combatir la COVID-19 “no se tiene que atacar a la actividad económica”, sino "" la ...",https://elcomercio.pe/politica/keiko-fujimori-podemos-salvar-las-vidas-y-salvar-la-economia-esa-es-la-vision-que-queremos-plantear-nndc-noticia/,https://elcomercio.pe/resizer/WxHqE2YVDrE8UhQtxwBfgHlkuCg=/234x161/smart/filters:format(jpeg):quality(75)/cloudfront-us-east-1.images.arcpublishing.com/elcomercio/IIIK2YBS7VANXBYSFBPYHHII64.jpg,17/02/2021,elcomercio,2021-02-18 00:06:26
